A2D1	EI-REI	AT72
A2D5	EI-DLI	B738
A2D6	EI-DLJ	B738
A2F7	EI-MPW	R44
A301	EI-DLV	B738
A302	EI-DLW	B738
A303	EI-DLX	B738
A304	EI-DLY	B738
A306	EI-DOH	B733
A30E	EI-FXH	AT72
A31A	272	EC35	A
A31E	274	A139	A
A330	275	A139	A
A332	277	A139	A
A335	278	A139
A336	279	A139
A348	EI-FGG	C42
A34C	EI-FGH	B712
A34E	EI-LKE	A333
A351	EI-FHA	B738
A354	EI-FHD	B738
A35D	EI-TON	XAIR
A35E	EI-MIK	EC20
A35F	EI-BSL	PA34
A360	EI-SEA	SREY
A362	EI-GSM	C182
A363	EI-BJB	CH7A
A364	EI-KDF	A21N
A365	EI-DGP	UF13
A366	EI-CMT	PA34
A36B	EI-DDX	C172
A36C	EI-GWY	C172
A383	EI-STI	B734
A3EE	TF-AAJ	B744
A41A	269	PC9
A41B	254	BN2T
A41C	281	PC12
A41D	282	PC12
A41E	283	PC12
A41F	284	C295
A420	285	C295
A421	286	C295
A448	290	FA6X	A
A44A	288	DHC6
A44B	280	PC12
A4B0	EI-TYH	A339
A4B2	EI-BIV	BL8
A4CB	EI-FLM	B738
A4CF	EI-FLR	E195
A4DB	EI-DRM	UF10
A4DC	EI-FLS	C42
A4DF	EI-SLP	AT73
A4E2	EI-DRW	EV97
A4E3	EI-RJO	RJ85
A4E8	EI-DPD	B738
A4EA	EI-DPF	B738
A4EC	EI-DPH	B738
A4ED	EI-DPI	B738
A4EE	EI-DPJ	B738
A4EF	EI-DPK	B738
A4F0	EI-DPL	B738
A4F1	EI-DPM	B738
A4F2	EI-DPN	B738
A4F4	EI-DPP	B738
A4F5	EI-DPR	B738
A4F8	EI-DPV	B738
A502	EI-DSA	A320
A510	EI-FXI	AT72
A515	EI-OZL	A306
A528	EI-BCJ	F8L
A52A	EI-FHV	B738
A52C	EI-IAL	A109
A536	EI-SCI	A20N
A537	EI-HRX	A119
A544	EI-SOP	AT75
A561	EI-DVO	J4B2
A562	EI-DPW	B738
A563	EI-DPX	B738
A564	EI-DPY	B738
A565	EI-DPZ	B738
A566	EI-DWA	B738
A568	EI-DWC	B738
A569	EI-DWD	B738
A56A	EI-DWE	B738
A56B	EI-DWF	B738
A56C	EI-DWG	B738
A56D	EI-DWH	B738
A56E	EI-DWI	B738
A56F	EI-DWJ	B738
A570	EI-DWK	B738
A574	EI-FJD	B738
A585	EI-HUM	RV7
A59B	EI-RGO	PC24
A5B1	EI-FML	A319
A5C3	EI-DSG	A320
A5C6	EI-DUO	A332
A5C7	EI-DUZ	A333
A5C8	EI-DVE	A320
A5CA	EI-FMU	A319
A5E0	EI-DUL	PNR3
A5FA	EI-FPA	CRJ9
A601	EI-FJC	B738
A608	EI-CPP	J3
A613	EI-EAZ	C172
A614	EI-FNG	A333
A615	EI-FNH	A333
A618	EI-FJO	B738
A61A	EI-FJP	B738
A61B	EI-DWM	B738
A61C	EI-DWO	B738
A61D	EI-DWP	B738
A61E	EI-DWR	B738
A61F	EI-DWS	B738
A620	EI-FPB	CRJ9
A621	EI-DWT	B738
A622	EI-DWV	B738
A623	EI-DWW	B738
A624	EI-DWX	B738
A625	EI-DWY	B738
A627	EI-SPB	C206
A62F	EI-NJA	R44
A630	EI-VLN	PA18
A633	EI-FNI	B772
A63A	EI-DVG	A320
A63B	EI-FNJ	A320
A640	EI-DVH	A320
A643	EI-DYA	B738
A645	EI-DYC	B738
A646	EI-DYD	B738
A647	EI-DYE	B738
A64E	EI-DYL	B738
A64F	EI-DYM	B738
A657	EI-DXX	XAIR
A65B	EI-SKB	PA44
A660	EI-FPF	CRJ9
A666	EI-DSL	A320
A667	EI-FPC	CRJ9
A668	EI-RJG	RJ85
A66A	EI-DXU	ELA7
A66B	EI-JOR	R44
A66D	EI-DZE	UF10
A66F	EI-FPD	CRJ9
A676	EI-FOS	B738
A689	EI-GJL	AS65
A68E	EI-FNT	A169
A692	EI-EAM	C172
A693	EI-YLG	HR20
A697	EI-JPK	SIRA
A69C	EI-HOG	C206
A6A4	EI-DYO	B738
A6A6	EI-DYR	B738
A6A9	EI-DYV	B738
A6AA	EI-DYW	B738
A6AD	EI-RJZ	RJ85
A6AE	EI-ZZZ	B222
A6BE	EI-LCM	TBM8
A6BF	EI-OOR	C172
A6C4	EI-DVI	A320
A6C7	EI-FSA	TL30
A6D4	EI-BBV	J3
A6D6	EI-FNW	B738
