02C4	VH-ATY	B06
02C5	VH-ATZ	BK17
02D0	VH-AUA	DH82
02D1	VH-AUB	P51
02D2	VH-AUC	C172
02D3	VH-AUD	BE33
02D4	VH-AUE	C180
02D5	VH-AUF	H500
02D6	VH-AUG	PA31
02D7	VH-AUH	DHC2
02D9	VH-AUJ	C82R
02DA	VH-AUK	PA22
02DB	VH-AUL	PL12
02DC	VH-AUM	GA8
02DE	VH-AUO	J1
02E1	VH-AUR	P28A
02E2	VH-AUS	DH82
02E3	VH-AUT	R66
02E5	VH-AUV	M18
02E6	VH-AUW	C188
02E7	VH-AUX	PA22
02E8	VH-AUY	C172
02F2	VH-AU8	AT8T
02F5	VH-AVB	C172
02F6	VH-AVC	T28
02F7	VH-AVD	AA5
02F8	VH-AVE	GLAS
02F9	VH-AVF	PA31
02FA	VH-AVG	C152
02FB	VH-AVH	PA32
02FD	VH-AVJ	C172
02FE	VH-AVK	C182
02FF	VH-AVL	LJ60
0300	VH-AVM	AT5T
0301	VH-AVN	AT5T
0303	VH-AVP	GA8
0304	VH-AVQ	P28A
0305	VH-AVR	R22
0306	VH-AVS	C172
0307	VH-AVT	C172
0308	VH-AVU	EXEC
0309	VH-AVV	A109
030A	VH-AVW	R44
030C	VH-AVY	M7
030D	VH-AVZ	C195
0318	VH-AWA	DH82
0319	VH-AWB	PA32
031A	VH-AWC	RV7
031B	VH-AWD	DHC2
031C	VH-AWE	BE36
031D	VH-AWF	BE33
031E	VH-AWG	RYST
031F	VH-AWH	AT5T
0320	VH-AWI	DHC2
0321	VH-AWJ	D11
0322	VH-AWK	AS50
0323	VH-AWL	BE36
0324	VH-AWM	H500
0325	VH-AWN	C150
0326	VH-AWO	C150
0327	VH-AWP	C150
0328	VH-AWQ	A109
0329	VH-AWR	DHC2
032A	VH-AWS	PA38
032B	VH-AWT	RV6
032C	VH-AWU	AT8T
032D	VH-AWV	C182
032E	VH-AWW	PA31
032F	VH-AWX	G115
0330	VH-AWY	DHC2
0331	VH-AWZ	DHC2
0335	VH-AW3	PC12
0360	VH-AYA	C182
0361	VH-AYB	R66
0362	VH-AYC	SLG2
0363	VH-AYD	PA38
0364	VH-AYE	GLAS
0365	VH-AYF	C182
0366	VH-AYG	RV10
0367	VH-AYH	AC11
0368	VH-AYI	DH82
0369	VH-AYJ	J1
036A	VH-AYK	CH7A
036B	VH-AYL	PA46
036C	VH-AYM	C172
036E	VH-AYO	T6
036F	VH-AYP	B06
0371	VH-AYR	C172
0373	VH-AYT	PA31
0374	VH-AYU	CJ6
0375	VH-AYV	BE58
0376	VH-AYW	DH82
0377	VH-AYX	G115
0379	VH-AYZ	C172
037F	VH-AY5	PA18
0384	VH-AZA	RV6
0385	VH-AZB	C182
0386	VH-AZC	C206
0388	VH-AZE	PA24
0389	VH-AZF	DH82
038A	VH-AZG	C206
038B	VH-AZH	GA8
038C	VH-AZI	D5
038D	VH-AZJ	PA31
038E	VH-AZK	PA24
038F	VH-AZL	FA24
0392	VH-AZO	C402
