0984	G-MAJB	JS41
0985	G-MAJC	JS41
0986	G-MAJD	JS41
0987	G-MAJE	JS41
0988	G-MAJF	JS41
0989	G-MAJG	JS41
098A	G-MAJH	JS41
098C	G-MAJJ	JS41
098D	G-MAJK	JS41
098E	G-MAJL	JS41
0994	G-BSWR	BN2T
09B4	G-WPNS	BN2T
09C5	G-EUUH	A320
09C6	G-EUUI	A320
09C7	G-EUUJ	A320
09C8	G-FFRA	FA20
09C9	G-FRAF	FA20
09CA	G-FRAH	FA20
09CB	G-FRAI	FA20
09CC	G-FRAJ	FA20
09CD	G-FRAK	FA20
09CE	G-FRAL	FA20
09D0	G-FRAO	FA20
09D1	G-FRAP	FA20
09D2	G-FRAR	FA20
09D3	G-FRAS	FA20
09D4	G-FRAT	FA20
09D5	G-FRAU	FA20
09D6	G-FRAW	FA20
09D8	G-EUUK	A320
09D9	G-EUUL	A320
09DA	G-EUUM	A320
09DB	G-EUUN	A320
09DC	G-CBUB	B412
09DD	G-OOBC	B752
09DE	G-OOBD	B752
09E6	G-CBVP	B412
09F9	G-MIDO	A320
09FD	G-SPHU	EC35
0A0E	G-EUUO	A320
0A12	G-CELY	B733
0A17	G-BFIV	C177
0A18	G-NWEM	EC35
0A1C	G-ONAV	PA31
0A22	G-CHCG	AS3B
0A25	G-EUUP	A320
0A26	G-EUUR	A320
0A28	G-BWWW	JS31
0A2A	G-JEDM	DH8D
0A30	G-POWW	A321
0A31	G-YAKN	YK52
0A35	G-CELE	B733
0A38	G-MAIR	PA34
0A45	G-HRYZ	P28A
0A5B	G-DBCA	A319
0A5C	G-BHZR	BDOG
0A5D	G-TALP	C172
0A5F	G-CELR	B733
0A60	G-OOBF	B752
0A62	G-BHTA	P28B
0A63	G-NWAE	EC35
0A64	G-POLJ	EC35
0A66	G-MEDJ	A321
0A6C	G-BCBG	PA27
0A70	G-TENG	E300
0A73	G-VIPA	C182
0A75	G-RAFK	BE20
0A77	G-JEDP	DH8D
0A79	G-JEDT	DH8D
0A7C	G-DBCC	A319
0A7D	G-DBCB	A319
0A80	G-IBFW	P28R
0A84	G-RAFL	BE20
0A86	G-OLIV	BE20
0A8C	G-BMLS	P28R
0A8D	G-BAMV	DR40
0A90	G-ECLM	A346
0A98	G-GAJB	AA5
0A99	G-NEWG	B737
0A9C	G-BTII	AA5
0A9D	G-JANT	P28A
0A9E	G-BFUB	P32T
0AA0	G-EZEH	A319
0AA5	G-PLAZ	AC11
0AAE	G-REDN	AS3B
0AAF	G-MRST	P28T
0AB0	G-GPMW	P28U
0AB2	G-DIXY	P28A
0AB3	G-JACS	P28A
0AB5	G-BONC	P28T
0AB8	G-RIGH	P32R
0ABC	G-NESW	PA34
0ABD	G-JEDU	DH8D
0AC1	G-TWIZ	AC11
0AC5	G-OAJS	PA30
0AC9	G-RVNM	P68
0ACA	G-UILT	C303
0ACC	G-ZLOJ	BT36
0ACF	G-ZZSB	EC25
0AD0	G-CBTT	P28A
0AD2	G-JEDV	DH8D
