07B5	XB-RJM	BE20
07B7	XC-LNT	B350
07BD	XA-ELA	EC35
07C2	XA-GCC	H25B
07C3	XA-CHK	H25B
07C5	ANX-1190	B350
07C6	XB-TRA	LJ60
07C7	1906	A109
07CA	XA-RYK	CL60
07CF	ANX-1191	B350
07D3	XA-UTI	C55B
07D5	ANX-1207	GLF5
07DA	6610	TEX2
07DB	6611	TEX2
07DC	6612	TEX2
07DE	XA-FME	B407
07E1	XA-HPR	C525
07E4	XA-BPK	E145
07EB	XB-NSP	S22T
07EE	XA-PBX	LJ45
07F0	XA-AMG	B738
07F2	XB-JLC	C550
07F6	XA-VLC	A320
07F7	XA-VLB	A320
07FB	XA-OVR	GLEX
07FC	XA-EMM	LJ45
07FD	XC-PFM	GLF4
07FF	XA-MFH	E145
0804	XA-AML	B738
0805	XA-AMM	B738
0806	XA-AMN	B738
0807	XB-CAR	CL60
080A	XA-CLB	BE20
080B	XA-ICY	CL60
080E	XA-GAE	E190
0810	XA-GAG	E190
0816	XA-YCC	BE40
081C	XA-VLD	A320
081F	XA-YES	E135
0820	XA-ICU	LJ35
0821	XA-LRC	B762
0822	XA-EFR	B762
0824	ANX-1307	TEX2
0827	XA-RHF	E145
0829	XB-KFA	PAY3
082C	3616	C130
082D	3617	C130
082E	3611	C130
0831	XA-UTT	EC55
0836	XA-GMO	F2TH
0838	XA-ABD	LJ45
083A	XA-MLA	H25B
083B	XA-GAH	E190
083E	XA-GAI	E190
083F	XA-GAK	E190
0840	XA-UUI	B733
0841	XA-FSA	H25B	A
0842	XA-UTX	MD82
0849	XA-FSA	H25B	A
0855	XA-UUN	PC12
0857	XA-GZZ	C25C
0858	XB-TDR	PA46
0859	XA-CHY	G150
085C	XA-AMX	B788
085D	XA-AMR	B788
0861	XA-CPL	G150
0862	XB-FSM	C172
0864	XA-GIN	BE9L
0866	XA-VLE	A320
0867	XA-VLF	A320
0869	XA-ERO	PC12
086A	XA-MYF	C414
086D	XA-PAZ	G280
086E	XA-UCI	LJ55
0872	3911	CL60
0873	XA-NDY	CL60
0874	XA-CAB	H25B
0877	GN-403	B722
0878	XC-MPF	B722
0879	ANX-1192	B350
087C	XA-GAW	E190
087E	XA-UTW	CVLT
087F	ANX-1203	CL60
0886	XB-DMT	AC90
088B	FAM3930	C680
088C	3910	GLF5
0890	XA-GAR	E190
0893	XA-MIR	K100
0894	XB-NXL	PAY1
0895	ANX-1210	B350
0896	ANX-1209	B350
0897	3931	C501
0898	XA-NOI	HA4T
0899	XB-AVJ	C210
089A	XA-UUT	DC93
08A5	XA-AMO	B738
08A6	5208	B350
08A7	5209	B350
08A8	5211	B350
08A9	5212	B350
08AA	TP-08	B350
08AB	ANX-1254	C295
08AC	XB-RNL	T206
08B1	XA-GAX	E190
08B3	XA-AMS	B738
08B4	XB-RTK	BE9L
08B7	XA-LBO	E35L
08B8	XA-MYM	G200
08C5	XA-UUP	LJ60
08C6	XA-UUQ	LJ31
08C8	XA-QPL	H25B
08C9	XA-EXC	H25B
08D1	XA-DHM	B789
08D4	XA-MBT	LJ75
08D5	XA-MBD	LJ75
08D7	XA-UVG	MD83
08D8	XA-UVP	B350
08D9	XA-SKA	LJ75
08DA	XA-MCS	CRJ1
08E0	XC-MDF	B06
08E3	XA-LAS	H25B
08E4	ANX-1194	B350
08E5	ANX-1195	B350
08E6	XA-VAA	A320
08E7	XA-RWS	E35L
08EB	XA-VLH	A321
08EE	XA-AMU	B738
08EF	XA-AMV	B738
08F1	XB-ODW	LJ35
08F3	XA-VAE	A320
08F4	XA-VLJ	A321
08F5	XA-PPY	SU95
08F6	XA-JGN	HDJT
08FD	XA-VLK	A320
0902	XA-FJA	E145
0907	XB-TPL	AS50
0908	3207	C295
0909	3208	C295	A
090E	XA-JBT	F2TH
090F	XA-GNI	FA7X
0912	XC-LOH	G150
0913	3914	G150
0914	3915	GLF4
0915	XA-GXG	CL30
0920	XA-LOB	E55P
0924	XA-VAJ	A320
0925	XA-CRS	C680
0926	XB-YDZ	C82R
0927	XB-MJI	T206
0928	XA-MCB	CRJ2
0929	XA-UWK	PC12
092C	XA-JAO	LJ45
092F	XC-LOK	GLF5
0930	XA-AFS	H25B
0931	3912	LJ45
0932	XA-VLL	A320
0934	XA-VAK	A320
0937	XA-RHA	F2TH
0938	XB-UOC	LJ60
0939	XA-VAN	A320
093E	XA-NFP	E145
0942	FAM-3933	C501
0943	3934	C501
0944	1955	B407
0945	1956	B407
0946	1957	B407
0947	XA-VAO	A320
094C	XA-VAQ	A320
094F	XA-ALN	LJ45
0956	XA-SFH	E145
0957	XA-UWT	C208
0958	FAM-5210	B350
095C	XA-MAF	E145
0960	XA-VER	SU95
0961	5213	B350
0962	XB-JRO	PAY1
0963	XA-VAP	A320
0971	XA-ASM	B738
0978	XA-MBC	LJ45
0979	XA-MBS	LJ75
097A	XA-MBO	LJ75
097C	XA-VAS	SU95
097D	XA-ARB	LJ75
0983	XA-OFM	CL60
0984	XA-VLM	A320
0985	XA-ALS	PC12
0987	XA-EBA	A320
0988	XA-UYQ	H25B
0989	XC-DCF	AS55
098A	XA-KAD	E35L
098B	XA-ZZZ	LJ45
098E	XA-AFH	E145
098F	XA-RAN	LJ75
0990	XA-MCD	CRJ1
0991	XC-BCS	AC95
0992	XB-KSW	P180
0993	XA-VLN	A320
0994	XA-RYO	LJ60
0995	XA-DAS	SU95
0997	XA-VLO	A320
099A	XA-VAR	A320
099C	XA-CSS	E55P
099E	XA-VLP	A320
09A0	XB-AAV	C206
09A1	XA-IJC	H25B
09A2	XA-UXI	MD82
09A4	XA-LAU	H25B
09A5	XA-ALL	E190
09A6	XA-AIG	LJ60
09A7	XB-CRC	C340
09A9	XA-AMW	B738
09AA	2028	TEX2
09B2	XA-EMB	E550
09B3	XA-BRA	E55P
09B4	XA-JBA	SU95
09B6	XA-LPZ	CL60
09B8	XA-KIM	CL60
09B9	XA-ALP	E190
09BA	XA-ETF	AS50
09BC	XA-GRE	CL60
09BD	XA-VLS	A320
09BE	XA-VLT	A321
09C0	XA-EFH	E145
09C2	XA-VAT	A320
09C3	XA-AEJ	A109
09C7	XA-VAZ	A320
09C8	XA-PFL	E145
09C9	XA-PDI	E35L
09CB	XA-MRM	SU95
09CC	XA-QKY	F900
09CE	XA-VAU	A320
09D0	XA-ADL	B789
09D2	XA-UXP	DC91
09D3	XA-UXR	DC91
09D4	XA-COS	E550
09D5	XA-VLU	A321
09D6	XA-MJA	H25B
09D7	XA-UXX	PC12
09DC	XA-CRM	A320
09DE	XA-ZPS	GLF4
09DF	XA-GGS	C68A
09E0	XB-PEO	C421
09E3	XA-FLA	E55P
09E4	XA-DLV	H25B
09E5	XA-ADC	B789
09E7	XA-ATM	B738
09E9	XB-EBO	T206
09EC	XA-ADD	B789
09ED	XA-VEK	B412
09EF	XA-VIV	A20N
09F0	XB-HXM	C206
09F1	XA-JGT	GL5T
09F6	XA-ALQ	E190
09F7	XA-VIB	A20N
09F9	XB-ILI	AC90
09FB	XA-ALR	E190
0A02	XA-VLV	A321
0A04	XA-VLW	A321
0A06	XA-JCZ	G150
0A08	XA-VLX	A320
0A09	XA-OAC	HA4T
0A0D	XA-VRB	A321
0A0F	XA-ALU	E190
0A13	XA-AWM	B738
0A16	XA-VTO	LJ60
0A17	XB-OGJ	C550
0A18	XA-VRC	A321
0A19	XA-VLY	A321
0A1A	XA-ALW	E190
0A1C	XA-AAN	G200
0A1D	XA-KVD	H25B
0A20	ANX-2240	EC25
0A21	XA-VLZ	A321
0A22	TPH-02	EC25
0A24	XA-UYK	AT46
0A25	XA-UYM	AT76
0A26	XA-VRA	A320
0A27	XA-UYL	AT46
0A2B	XA-VGL	E55P
0A2C	XA-ALY	E190
0A2D	XB-LTC	C182
0A33	XB-MTP	COL3
0A37	XA-UYR	A306
0A38	XA-AYM	PC12
0A39	XC-MLM	AC90
0A3A	XA-ALZ	E190
0A3E	XB-NDN	T210
0A42	XA-UYT	AT76
0A43	XA-TVA	C750
0A44	XB-CSI	C500
0A46	XA-RBI	F900
0A47	XA-TBY	E145
0A4C	XA-AEC	E190
0A4E	XB-IUY	T206
0A53	XA-FLB	E550
0A55	XA-MCE	CRJ2
0A56	XA-GGL	A306
0A58	XB-VFJ	C650
0A5A	XB-EPY	C182
0A5B	XC-LOY	DH8B
0A5C	XB-NAT	C182
0A5F	XB-NGT	SR20
0A62	XA-AEE	E190
0A63	XA-UQB	SW4
0A64	XA-USG	SW3
0A65	XA-SRD	G200
0A66	XA-UYY	AT76
0A6C	XB-ICK	T206
0A6D	XA-BJA	LA25
0A6F	XA-AUT	B429
0A70	XC-LPC	B429
0A71	XA-BPS	E55P
0A72	XA-HEL	H25B
0A73	XA-UZD	LJ45
0A75	XA-STG	C750
0A77	XA-VAW	A320
0A7A	XA-AEF	E190
0A7B	XB-OSR	PA31
0A7C	XA-MJS	H25B
0A7D	XA-UZC	MD82
0A7E	XA-ESF	B734
0A7F	XA-BET	PC12
0A80	XA-UZE	AT76
0A81	XB-HKA	C340
0A8C	XB-HQG	C206
0A8D	XA-ADU	B738
0A8E	XA-ADT	B738
0A90	XA-CHB	LJ75
0A92	XA-AEH	E190
0A93	XA-ARC	A109
0A95	XA-UZF	CL60
0A97	XC-MTA	R44
0A98	XC-GOB	C206
0A9A	XA-ADG	B789
0A9B	XA-ADH	B789
0A9C	XA-EME	B734
0A9D	XB-BAJ	T206
0A9E	XA-TYX	SW4
0A9F	XB-GTT	C650
0AA0	XA-AEI	E190
0AA4	XA-UMI	CVLT
0AA8	XA-UZI	MD83
0AA9	XA-UZJ	DC93
0AAB	XA-VAB	A320
0AAC	XA-UFF	CL60
0AAE	XA-OLE	GLF6
0AAF	XA-FGL	G280
0AB0	3973	B350
0AB3	XA-SYJ	CL60
0AB5	XA-CIN	CL60
0AB6	XA-HUM	A139
0AB8	XA-NYM	BE20
0AB9	XB-SNI	B407
0ABA	XA-AEL	E190
0ABC	XA-SCR	E550
0ABD	XA-MAG	B38M
0ABF	XA-VRD	A20N
0AC1	XA-AEM	E190
0AC7	XA-MXJ	CL60
0AC8	XA-VAY	A320
0AC9	XA-UZT	AT76
0ACA	XA-VAX	A320
0ACB	XA-UZS	AT76
0ACD	XA-MAK	B38M
0ACF	XA-AEN	E190
0AD1	XA-JVC	E550
0AD3	XB-NLJ	R66
0ADE	XB-PML	PA46
0AE0	XB-PCU	T206
0AE1	XC-UJT	PA31
0AE2	XC-LJQ	AC90
0AE3	XA-FUF	E35L
0AE4	XB-GZA	C206
0AE5	XA-SLW	SW4
0AE6	XB-KJO	PA32
0AE7	XB-MHX	P32R
0AE8	XA-AEO	E190
0AE9	XB-LGA	C208
0AEB	XA-TIG	DC91
0AEC	XA-TSB	C208
0AED	XB-PZY	C650
0AEF	XA-SSR	B38M
0AF0	XA-UUL	SW4
0AF1	XA-VIE	A20N
0AF2	XA-UZV	MD83
0AF3	XA-UZX	MD83
0AF4	XA-UZW	B733
0AF6	XA-BER	B505
0AF7	XA-MAO	B38M
0AFB	XA-UUM	SW4
0AFC	XA-LEO	T206
0AFD	XA-MLU	C68A
0AFE	XA-AGV	C68A
0AFF	XB-AFL	P210
0B00	XB-PVR	S22T
0B02	XA-TPB	H25B
0B04	XA-MAQ	B38M
0B0B	XA-SOL	CL60
0B0C	XA-SSE	E35L
0B0D	XA-VIF	A20N
0B0E	XA-LTS	C680
0B0F	XA-AEP	E190
0B10	XA-VRE	A20N
0B11	XA-IFP	E145
0B13	XA-MSA	E35L
0B14	XA-VAD	CRJ2
0B15	XB-MHP	C206
0B16	XA-VIL	A20N
0B17	XA-FLX	H25B
0B19	XA-DRE	GLF4
0B1A	XC-BDM	CRJ7
0B1B	XB-OUZ	C560
0B1D	XA-OOI	CL60
0B1E	XA-FUD	C680
0B1F	XA-ZRA	EC75
0B20	XA-VBF	CRJ2
0B21	XA-CST	LJ60
0B22	XA-KRY	A139
0B23	XA-ARR	GLF4
0B26	XB-AJA	BE20
0B28	ANX-1260	C208
0B29	XB-PGY	C501
0B2A	XA-GRB	E545
0B2B	XA-ASE	A139
0B2C	XA-GMC	H25B
0B2D	XB-CPC	C414
0B30	XA-VCB	MD83
0B31	XA-VBG	MD82
0B32	XA-MMX	C680
0B34	XA-VIM	A20N
0B35	XA-VRF	A20N
0B36	XA-VII	A20N
0B37	XA-MCF	B733
0B38	XA-VCE	B733
0B39	XA-UOS	SW4
0B3A	XA-VBE	DC93
0B3B	XA-UMW	SW4
0B3E	XA-VIJ	A20N
0B3F	XA-VIK	A20N
0B44	XA-VRH	A20N
0B4A	XA-VCI	B733
0B4B	XA-MAT	B38M
0B4D	XB-NXR	C550
0B50	XA-NTN	B505
0B56	XA-GLL	GALX
0B57	XA-GPO	LJ75
0B58	XA-VIN	A20N
0B59	XA-PTS	PC12
0B5A	XA-SAW	T206
0B5C	XB-BAY	PA32
0B5F	XA-LSB	A139
0B60	XA-AWI	A109
0B61	XA-DIA	A139
0B62	XA-HJE	HDJT
0B65	XA-VCN	B733
0B66	XA-DRA	B738
0B67	XA-DRC	B738
0B69	XB-MGN	C421
0B6A	XA-PNG	SW4
0B6B	XB-BUM	BE9L
0B6C	XA-CRG	GALX
0B6D	XA-UKJ	SW4
