38BA	F-WWGC	F2TH
38C7	F-BOGH	C150
38D9	F-BOGZ	C172
38DA	F-WWGD	F2TH
38E9	F-BOHJ	PA18
391A	F-WWGK	F2TH
391B	F-CITZ	GLID
3934	F-BOJU	C182
3937	F-BOJX	PA30
3939	F-BOJZ	C402
393A	F-WWGL	F2TH
3940	F-BOKA	D250
3946	F-BOKG	DR22
3947	F-BOKH	DR22
3949	F-BOKJ	DR22
3952	F-BOKS	DR22
395A	F-WWGM	F2TH
396E	F-BOLO	M20P
3982	F-BOMC	PA18
3987	F-BOMH	PA18
398C	F-BOMM	PA18
398F	F-BOMP	PA18
399A	F-WWGO	F2TH
399C	85BF	PETR
39BA	F-WWGP	F2TH
39C5	F-BOOF	BE35
39D1	F-BOOR	PA18
39D7	F-BOOX	PA18
39DA	F-WWGQ	F2TH
39DB	F-PDPE	MCR4
39E0	F-BOPA	D140
39E6	F-BOPG	D140
39EE	F-BOPO	D140
39FA	F-WWGR	F2TH
39FB	F-PAJM	RV8
3A05	F-BOQF	C150
3A0E	F-BOQO	C150
3A1A	F-WWGS	F2TH
3A20	F-BORA	RF4
3A3A	F-WWGT	F2TH
3A3B	F-PSSA	D11
3A48	F-BOSI	BE35
3A5A	F-WWGU	F2TH
3A5B	F-CAQA	SF25
3A61	F-BOTB	RALL
3A6A	F-BOTK	RALL
3A70	F-BOTQ	RALL
3A7A	F-WWGV	F2TH
3A7C	F-JAFM	VNTR
3A7D	F-JTEG	PNR3
3A99	F-BOUZ	PA18
3A9A	F-WWGW	F2TH
3A9C	F-JAVR	TTRS
3ABA	F-WWGX	F2TH
3ADA	F-WWGY	F2TH
3ADB	F-CHFN	GLID
3AF4	F-BOXU	P28R
3AFA	F-WWGZ	F2TH
3AFB	F-CHEA	GLID
3B0A	F-BOYK	WA41
3B1B	F-CIDK	GLIM
3B23	F-BOZD	DR22
3B2E	F-BOZO	DR22
3B2F	F-BOZP	DR22
3B34	F-BOZU	DR22
3B5A	F-WWRC	TBM9
