5BA0	OH-976	GLID
5BB6	OH-998	GLIM
5BC8	OH-1016	DIMO
5BD2	OH-1026	GLIM
5BDE	OH-1038	GLID
7801	FF-3	F27
7807	HN-402	F18H
7808	HN-403	F18H
7809	HN-404	F18H
780A	HN-405	F18H
780B	HN-406	F18H
780C	HN-407	F18H
780D	HN-408	F18H
780E	HN-409	F18H
780F	HN-410	F18H
7811	HN-412	F18H
7812	HN-414	F18H
7813	HN-415	F18H
7814	HN-416	F18H
7815	HN-417	F18H
7816	HN-418	F18H
7817	HN-419	F18H
7818	HN-420	F18H
7819	HN-421	F18H
781A	HN-422	F18H
781B	HN-423	F18H
781D	HN-425	F18H
781F	HN-427	F18H
7820	HN-428	F18H
7821	HN-429	F18H
7822	HN-431	F18H
7823	HN-432	F18H
7824	HN-433	F18H
7826	HN-435	F18H
7827	HN-436	F18H
7829	HN-438	F18H
782A	HN-439	F18H
782D	HN-442	F18H
782E	HN-443	F18H
782F	HN-444	F18H
7830	HN-445	F18H
7831	HN-446	F18H
7832	HN-447	F18H
7833	HN-448	F18H
7834	HN-449	F18H
7835	HN-450	F18H
7836	HN-451	F18H
7837	HN-452	F18H
7838	HN-453	F18H
7839	HN-454	F18H
783A	HN-455	F18H
783B	HN-456	F18H
783C	HN-457	F18H
783D	HN-461	F18H
783E	HN-462	F18H
783F	HN-463	F18H
7840	HN-464	F18H
7841	HN-465	F18H
7842	HN-466	F18H
7843	HN-467	F18H
7844	HN-424	F18H
7847	HN-411	F18H
788B	LJ-3	LJ35
788C	LJ-2	LJ35
788D	LJ-1	LJ35
788E	CC-1	C295
788F	CC-2	C295
7890	PI-01	PC12
7891	PI-02	PC12
7892	PI-03	PC12
7893	PI-04	PC12
7894	PI-05	PC12
7895	PI-06	PC12
7896	CC-3	C295
7897	GO-1	G115
7898	GO-2	G115
7899	GO-3	G115
789A	GO-4	G115
789B	GO-5	G115
789C	GO-6	G115
789D	GO-7	G115
789E	GO-8	G115
789F	GO-9	G115
78A0	GO-10	G115
78A1	GO-11	G115
78A2	GO-12	G115
78A3	GO-13	G115
78A4	GO-14	G115
78A5	GO-15	G115
78A6	GO-16	G115
78A7	GO-17	G115
78A8	GO-18	G115
78A9	GO-19	G115
78AB	GO-21	G115
78AF	GO-25	G115
78B1	GO-27	G115
7C4A	PN74	H60
8007	007	F16
801D	029	F16
8075	4117	C27J
8078	4120	C27J
8079	4121	C27J
807A	4122	C27J
807B	4123	C27J
80D1	209	E135
80FA	250	M346
80FB	251	M346
80FF	255	M346
8100	256	M346	A
8101	257	M346
8102	258	M346	A
8103	259	M346
8111	273	FA7X	A
812E	300	C130
