8D50	OY-CJP	P28R
8D59	OY-CJY	DH8C
8D67	OY-CKG	P32R
8D6B	OY-CKK	F2TH
8D70	OY-CKP	BE20
8D73	OY-CKS	BN2P
8D81	OY-CLA	P28A
8D8C	OY-CLL	PA12
8D90	OY-CLP	C650
8D99	OY-CLY	AT75
8D9A	OY-CLZ	AT75
8E02	OY-CPB	C172
8E1A	OY-CPZ	C172
8E41	OY-CRA	M7
8E4A	OY-CRJ	CRJ2
8E56	OY-CRV	AT75
8E62	OY-CSB	C172
8E63	OY-CSC	P28T
8E7A	OY-CSZ	C182
8E96	OY-CTV	C172
8E98	OY-CTX	DIMO
8E9A	OY-CTZ	C172
8EA1	OY-CUA	LNC2
8EA3	OY-CUC	PTS2
8ED7	OY-CVW	B350
8F05	OY-CXE	GLIM
8F0C	OY-CXL	GLID
8F13	OY-CXS	GLIM
8F14	OY-CXT	GLIM
8F26	OY-CYF	P28A
8F2C	OY-CYL	C172
8F30	OY-CYP	PA25
8F5A	OY-CZZ	DA62
9021	OY-DAA	KZ3
904B	OY-DBK	C150
904D	OY-DBM	CH7A
9062	OY-DCB	PA22
9086	OY-DDF	GY80
908C	OY-DDL	M20P
90AA	OY-DEJ	KZ3
90B7	OY-DEW	C172
90C4	OY-DFD	M20P
9103	OY-DHC	J3
915A	OY-DJZ	BE35
916F	OY-DKO	KZ3
9199	OY-DLY	PA31
91AA	OY-DMJ	KZ7
91AD	OY-DMM	PA22
91CB	OY-DNK	BE35
9247	OY-DRG	JUNR
9257	OY-DRW	FA7X
9262	OY-DSB	KZ7
926E	OY-DSN	P28A
9273	OY-DSS	P28A
9290	OY-DTP	J1
9299	OY-DTY	KZ7
92B3	OY-DUS	PA22
9465	OY-ECE	C172
9466	OY-ECF	P28B
9476	OY-ECV	J3
9487	OY-EDG	C182
948C	OY-EDL	P28A
94A6	OY-EEF	BE20
94BA	OY-EEZ	LGEZ
94C2	OY-EFB	C140
9544	OY-EJD	FA7X
954D	OY-EJM	SIRA
9563	OY-EKC	FA7X
9575	OY-EKU	C172
958F	OY-ELO	C172
95AA	OY-EMJ	SIRA
95D6	OY-ENV	C172
9653	OY-ERS	HDJT
9659	OY-ERY	C550
9674	OY-EST	AC11
96B2	OY-EUR	PC12
96C1	OY-EVA	EVSS
96C5	OY-EVE	EVSS
9701	OY-EXA	GLIM
9702	OY-EXB	GLIM
9705	OY-EXE	GLID
970E	OY-EXN	DIMO
9744	OY-EZD	F2TH
9864	OY-FCD	C172
988B	OY-FDK	C208
988D	OY-FDM	P28A
98C6	OY-FFF	SIRA
98C7	OY-FFG	SIRA
98C8	OY-FFH	SIRA
98C9	OY-FFI	FA7X
98CB	OY-FFK	SIRA
98D3	OY-FFS	P06T
98D4	OY-FFT	P06T
9901	OY-FHA	BN2P
9902	OY-FHB	BN2P
9903	OY-FHC	DHC6
9904	OY-FHD	DHC6
9999	OY-FLY	C172
9A43	OY-FRC	P28A
9A4B	OY-FRK	JUNR
9A62	OY-FSB	SB20
9A63	OY-FSC	SB20
9A64	OY-FSD	SB20
9A65	OY-FSE	SB20
9A67	OY-FSG	F2TH
9AAE	OY-FUN	I3
9AB2	OY-FUR	C172
9AC1	OY-FVA	PC12
9B05	OY-FXE	GLIM
9B19	OY-FXY	GLID
9C21	OY-GAA	AA5
9C34	OY-GAT	GA7
9C43	OY-GBC	P06T
9C44	OY-GBD	SIRA
9C45	OY-GBE	SIRA
9C46	OY-GBF	P06T
9C47	OY-GBG	SIRA
9C49	OY-GBI	SIRA
9C58	OY-GBX	GLID
9C63	OY-GCC	BN2P
9C6D	OY-GCM	P68
9C81	OY-GDA	E195
9C82	OY-GDB	E195
9C83	OY-GDC	E195
9C93	OY-GDS	EUPA
9CA3	OY-GEC	GALX
9CB4	OY-GET	BE33
9CCC	OY-GFL	C82R
9CD3	OY-GFS	F2TH
9D03	OY-GHC	C82R
9D23	OY-GIC	LJ45
9D6E	OY-GKN	A338
9D98	OY-GLX	GLIM
9DA6	OY-GMF	GLEX
9DD3	OY-GNS	P68
9DD5	OY-GNU	S22T
9E47	OY-GRG	DH8B
9E48	OY-GRH	DH8B
9E4A	OY-GRJ	DH8B
9E4B	OY-GRK	DH8B
9E4D	OY-GRM	DH8B
9E4E	OY-GRN	A332
9E4F	OY-GRO	DH8B
9E50	OY-GRP	DH8B
9E52	OY-GRR	DH8B
9E61	OY-GSA	PC12
9E62	OY-GSB	PC12
9E81	OY-GTA	C82R
9E8D	OY-GTM	C172
9E8F	OY-GTO	RV7
9EA6	OY-GUF	BT36
9EC4	OY-GVD	P32T
9EE1	OY-GWA	C208
A042	OY-HBB	EC30
A057	OY-HBW	R66
A058	OY-HBX	GLID
A083	OY-HDC	B06
A0D3	OY-HFS	R44
A104	OY-HHD	R44
A107	OY-HHG	R44
A109	OY-HHI	AS50
A10D	OY-HHM	B505
A10F	OY-HHO	R22
A112	OY-HHR	R44
A115	OY-HHU	EC75
A116	OY-HHV	EC75
A117	OY-HHW	EC75
A119	OY-HHY	EC75
A11A	OY-HHZ	EC75
A121	OY-HIA	B222
A128	OY-HIH	A139
A12C	OY-HIL	A139
A142	OY-HJB	EC55
A145	OY-HJE	R44
A146	OY-HJF	EC20
A147	OY-HJG	EC35
A14A	OY-HJJ	EC55
A14C	OY-HJL	A139
A14E	OY-HJN	EC20
A159	OY-HJY	B505
A15A	OY-HJZ	G2CA
A166	OY-HKF	R44
A167	OY-HKG	R44
A16C	OY-HKL	R44
A188	OY-HLH	R44
A18D	OY-HLM	A189
A190	OY-HLP	R44
A198	OY-HLX	SF25
A199	OY-HLY	AS55
A1AB	OY-HMK	R44
A1AC	OY-HML	A139
A1B0	OY-HMP	A189
A1B6	OY-HMV	EC75
A1CB	OY-HNK	EC35
A1CC	OY-HNL	EC45
A1CE	OY-HNN	R44
A1CF	OY-HNO	EC45
A1D2	OY-HNR	EC35
A1D6	OY-HNV	EC75
A1E6	OY-HOF	A169
A1F4	OY-HOT	A169
A1F7	OY-HOW	A169
A204	OY-HPD	R22
A215	OY-HPU	EC35
A24F	OY-HRO	R44
A256	OY-HRV	EC75
A265	OY-HSE	A189
A273	OY-HSS	EC20
A274	OY-HST	R44
A278	OY-HSX	GLIM
A281	OY-HTA	R44
A282	OY-HTB	R22
A28B	OY-HTK	EC20
A28C	OY-HTL	EC35
A292	OY-HTR	R44
A2B0	OY-HUP	EC55
A2B7	OY-HUW	EC25
A2BA	OY-HUT	EC55
A2C1	OY-HVA	R44
A2C2	OY-HVB	A139
A2D2	OY-HVR	EC75
A2F0	OY-HWP	A139
A303	OY-HXC	GLID
A304	OY-HXD	GLIM
A308	OY-HXH	GLID
A30A	OY-HXJ	GLID
A30C	OY-HXL	GLID
A310	OY-HXP	SF25
A327	OY-HYG	R44
A32F	OY-HYO	R44
A339	OY-HYY	EC20
A347	OY-HZG	G2CA
A34D	OY-HZM	B505
A359	OY-HZY	AS50
A35A	OY-HZZ	R44
A458	OY-IBX	GLIM
A482	OY-IDB	P28B
A582	OY-ILB	MF17
A5B2	OY-IMR	TAMP
A5D6	OY-INV	CL60
A601	OY-IPA	RV6
A6B6	OY-IUV	GALX
A709	OY-IXI	GLIM
A823	OY-JAC	P46T
A824	OY-JAD	P32R
A829	OY-JAI	C500
A82E	OY-JAN	C177
A833	OY-MOL	P28A
A835	OY-JAU	PA34
A841	OY-JBA	C72R
A842	OY-JBB	EUPA
A846	OY-JBF	P28A
A847	OY-JBG	PA34
A84A	OY-JBJ	H25B
A870	OY-JCP	LNC2
A8A2	OY-JEB	P28A
A8A3	OY-JEC	P28A
A8A4	OY-JED	P28A
A8A5	OY-JEE	P28A
A8AC	OY-JEL	G202
A8AD	OY-JEM	P06T
A8B3	OY-JES	RV6
A942	OY-JJB	J328
A943	OY-JJC	H25B
A947	OY-JJG	J328
A948	OY-JJH	J328
A94B	OY-JJK	HA4T
A94E	OY-JJN	C501
A953	OY-JJS	HA4T
A96C	OY-JKL	C172
A989	OY-JLI	C172
A994	OY-JLT	C172
A9A5	OY-JME	P06T
A9A8	OY-JMH	C25C
A9CB	OY-JNK	DA42
AA0A	OY-JPJ	C650
AA14	OY-JPT	C77R
AA46	OY-JRF	AT45
AA4A	OY-JRJ	AT43
AA4B	OY-JRK	A320
AA4F	OY-JRO	AT45
AA50	OY-JRP	A320
AA53	OY-JRS	A320
AA55	OY-JRU	C56X
AA59	OY-JRY	AT43
AA61	OY-JSA	AA5
AA77	OY-JSW	C25A
AA83	OY-JTC	B733
AA90	OY-JTP	B737
AA92	OY-JTR	B737
AA94	OY-JTT	B737
AA99	OY-JTY	B737
AB01	OY-JXA	GLID
AB07	OY-JXG	GLIM
AB0B	OY-JXK	GLIM
AB21	OY-JYA	B738
AB22	OY-JYB	B738
AB23	OY-JYC	B738
AB24	OY-JYD	B738
AB26	OY-JYF	B38M
AB27	OY-JYG	B738
AB28	OY-JYH	B738
AB47	OY-JZG	B738
AB48	OY-JZH	AT76
AB49	OY-JZI	B738
AB4B	OY-JZK	B738
AB4D	OY-JZM	B738
AB4E	OY-JZN	B738
AB4F	OY-JZO	B738
AB50	OY-JZP	B738
AB53	OY-JZS	B738
AB54	OY-JZT	B738
AB56	OY-JZV	AT75
AB57	OY-JZW	AT75
AB59	OY-JZY	AT72
AB5A	OY-JZZ	AT75
AC2C	OY-KAL	A320
AC2E	OY-KAN	A320
AC2F	OY-KAO	A320
AC30	OY-KAP	A320
AC32	OY-KAR	A320
AC33	OY-KAS	A320
AC34	OY-KAT	A320
AC37	OY-KAW	A320
AC39	OY-KAY	A320
AC41	OY-KBA	A343
AC43	OY-KBC	A343
AC44	OY-KBD	A343
AC45	OY-KBE	A321
AC48	OY-KBH	A321
AC49	OY-KBI	A343
AC4B	OY-KBK	A321
AC4D	OY-KBM	A343
AC4F	OY-KBO	A319
AC50	OY-KBP	A319
AC52	OY-KBR	A319
AC54	OY-KBT	A319
AC58	OY-KBX	GLIM
ACAA	OY-KEJ	RV8
ACAE	OY-KEN	TB20
ACB8	OY-KEX	GLIM
AED0	OY-KVP	LJ40
AF10	OY-KXP	SF25
AF14	OY-KXT	DIMO
AF53	OY-KZS	KZ8
B027	OY-LAG	P28A
B02A	OY-LAJ	TAMP
B035	OY-LAU	DR10
B038	OY-LAX	GLID
B0B6	OY-LEV	JUNR
B102	OY-LHB	AT72
B103	OY-LHC	AT73
B10B	OY-LHK	DA42
B138	OY-LIX	GLIM
B158	OY-LJX	GLIM
B1C1	OY-LNA	GLEX
B206	OY-LPF	PC12
B283	OY-LTC	P28B
B2E1	OY-LWA	P28R
B301	OY-LXA	GLIM
B332	OY-LYR	DA40
B423	OY-MAC	B77L
B424	OY-MAD	B77L
B428	OY-MAH	RALL
B4AA	OY-MEJ	SIRA
B4EF	OY-MGO	F2TH
B4F0	OY-MGP	J3
B52B	OY-MIK	DHC1
B52C	OY-MIL	CRJ2
B533	OY-MIS	P68
B534	OY-MIT	CRJ9
B545	OY-MJE	SIRA
B593	OY-MLS	P68
B5AD	OY-MMM	GA6C
B5D3	OY-MNS	P68
B616	OY-MPV	P46T
B674	OY-MST	PA31
B693	OY-MTS	M20P
B6EC	OY-MWL	DA40
B701	OY-MXA	GLIM
B702	OY-MXB	DIMO
B706	OY-MXF	GLIM
B709	OY-MXI	GLID
B70C	OY-MXL	GLIM
B70F	OY-MXO	GLIM
B82C	OY-NAL	M7
B848	OY-NBH	DA40
B853	OY-NBS	PC12
B869	OY-NCI	J328
B86A	OY-NCJ	J328
B86C	OY-NCL	J328
B86D	OY-NCM	J328
B86E	OY-NCN	J328
B86F	OY-NCO	J328
B870	OY-NCP	J328
B873	OY-NCS	J328
B874	OY-NCT	J328
B875	OY-NCU	J328
B877	OY-NCW	J328
B890	OY-NDP	C25A
B8B7	OY-NEW	FA8X
B8C1	OY-NFA	C650
B8D8	OY-NFX	DIMO
B8E1	OY-NGA	CRJ9
B908	OY-NHH	SR20
B923	OY-NIC	C172
B933	OY-NIS	P28A
B946	OY-NJF	C182
B94B	OY-NJK	EUPA
B962	OY-NKB	C172
B981	OY-NLA	C650
B9C1	OY-NNA	CRJ2
BA04	OY-NPD	SW4
BA05	OY-NPE	SW4
BA06	OY-NPF	SW4
BA07	OY-NPG	SW4
BA47	OY-NRG	FA6X
BA4B	OY-NRK	PA38
BA61	OY-NSA	DHC6
BA68	OY-NSH	EXNG
BA85	OY-NTE	M700
BB46	OY-NZF	AT76
BB48	OY-NZH	AT76
BB52	OY-NZR	AT76
BB53	OY-NZS	AT76
BB54	OY-NZT	AT76
BB55	OY-NZU	AT76
BD0D	OY-OHM	DA40
BD36	OY-OIV	MJ5
